B axis
2013/ 2/19  16Ω√56∫–52√ 
 156  3229048.0     2527.0      -13.1
 157  3249047.0     2541.0      -14.2
 158  3269047.0     2555.0      -15.2
 159  3289049.0     2568.0      -17.2
 160  3309042.0     2582.0      -18.3
 161  3329062.0     2596.0      -19.3
 162  3349063.0     2610.0      -20.3
 163  3369070.0     2624.0      -21.4
 164  3389070.0     2637.0      -23.4
 165  3409044.0     2651.0      -24.4
 166  3429051.0     2665.0      -25.5
 167  3449049.0     2678.0      -27.5
 168  3469045.0     2692.0      -28.5
 169  3489050.0     2706.0      -29.5
 170  3509070.0     2720.0      -30.6
 171  3529046.0     2733.0      -32.6
 172  3549066.0     2747.0      -33.7
 173  3569053.0     2761.0      -34.7
 174  3589052.0     2774.0      -36.7
 175  3609053.0     2788.0      -37.7
 176  3629047.0     2802.0      -38.8
 177  3649066.0     2816.0      -39.8
 178  3669073.0     2829.0      -41.8
 179  3689068.0     2842.0      -43.9
 180  3709074.0     2857.0      -43.9
 181  3729075.0     2870.0      -45.9
 182  3749054.0     2884.0      -46.9
 183  3769054.0     2897.0      -49.0
 184  3789051.0     2911.0      -50.0
 185  3808734.0     2925.0      -50.8
