 6175 Zet Oph      4.35092493     -0.18443116   2.56 O9.5Vn
 6212 Zet Her      4.36890207      0.55160251   2.81 G0IV
 6241 Eps Sco      4.40762186     -0.59854784   2.29 K2.5III
 6378 Eta Oph      4.49587620     -0.27444193   2.43 A2V
 6536 Bet Dra      4.58337839      0.91283240   2.79 G2Ib-IIa
 6556 Alp Oph      4.60303013      0.21919894   2.08 A5III
 6603 Bet Oph      4.64027523      0.07972321   2.77 K2III
 6705 Gam Dra      4.69758195      0.89864943   2.23 K5III
 6859 Del Sgr      4.80399952     -0.52059957   2.70 K3-IIIa*
 6879 Eps Sgr      4.81785484     -0.60013453   1.85 B9.5III
 6913 Lam Sgr      4.83442802     -0.44370359   2.81 K1+IIIb
 7001 Alp Lyr      4.87357939      0.67691995   0.03 A0Va
 7121 Sig Sgr      4.95352896     -0.45896686   2.02 B2.5V
 7194 Zet Sgr      4.98558281     -0.52150936   2.60 A2III+A4IV
 7264  Pi Sgr      5.01678895     -0.36693347   2.89 F2II
 7525 Gam Aql      5.17603686      0.18523748   2.72 K3II
 7528 Del Cyg      5.17043362      0.78768463   2.87 B9.5IV+F1V
 7557 Alp Aql      5.19580720      0.15480624   0.77 A7V
 7796 Gam Cyg      5.33297749      0.70261138   2.20 F8Ib
 7924 Alp Cyg      5.41676778      0.79029006   1.25 A2Ia
 7949 Eps Cyg      5.43765157      0.59291412   2.46 K0-III
 8162 Alp Cep      5.57887861      1.09232713   2.44 A7V
 8308 Eps Peg      5.69058986      0.17235120   2.39 K2Ib
 8322 Del Cap      5.70305533     -0.28149207   2.87 Am
 8728 Alp PsA      6.01116382     -0.51701583   1.16 A3V
 8775 Bet Peg      6.03787113      0.49014567   2.42 M2.5II-III
 8781 Alp Peg      6.04216677      0.26537948   2.49 B9V
