/////////////////////////////////



  1    -37.64067      2.96920     42.90749    -56.37331    -669908    8124810      -2347       1096 -15095.1  27070.0
  1    -26.89677      2.96311     49.72957    -44.34049    -530202   11734287      -1866       1551     67.6     15.6
  1    -17.57858      2.96233     54.44668    -31.24584    -381086   14181611      -1354       1852   1105.3    756.5
  1      4.97640      2.96184     58.09071      9.43289      87124   16289416        273       2108     31.9   -681.8
  1     39.12458      2.96489     41.87804     57.81677     648246    7428170       2224       1007  -1373.6   1114.9
  1     39.11284     -0.98616     39.00117     54.25697     612837    5954314       2102        816 -17276.2  28127.3
  1     41.54743     -0.99096     37.34683     56.52872     639161    5217833       2193        719 -17288.7  27409.7
  1    -11.61960     -1.30580     52.54069    -19.33419    -242504   13307289       -862       1745 -15417.7  26703.5
  1     15.91621     -1.35579     51.13075     25.90422     286108   12484504        967       1645 -17185.9  27027.7
  1     21.79695     -1.35535     48.70109     34.22589     382329   11175134       1300       1483     34.1     27.2
  1     28.10361     -1.36755     45.47397     42.18902     475226    9421330       1623       1261 -17606.5  27399.4
  1     42.84957     -1.36479     36.17730     57.38159     649682    4629897       2231        641     14.8     38.1
  1     45.55119     -1.36403     34.27900     59.73386     676282    3678651       2324        514    140.3     52.7
//////////////////////////////  1    -43.02968     -3.22897     34.70202    -55.96538    -666783    3896759      -2335        543 -14706.7  27392.4
  1    -42.27389     -3.22918     35.21577    -55.29100    -658365    4157486      -2307        577    -52.6     36.6
  1    -36.87113     -3.23816     38.75214    -50.18907    -599560    5986722      -2104        820 -14704.1  27014.8
  1    -30.83444     -3.24557     42.38623    -43.85463    -524946    7857501      -1846       1062 -15122.4  27029.5
  1    -26.70401     -3.24614     44.63991    -39.09081    -469420    9030021      -1655       1212     -8.8     34.1
  1     -1.41113     -8.96577     46.48032     -2.02444     -40376    9949785       -165       1329 -15838.9  27350.2
  1     -0.75122     -8.96577     46.49503     -1.07793     -29195    9963459       -127       1330     21.1     25.7
  1     19.91888     -9.35282     42.22861     26.99952     292992    7722162        995       1045 -15763.0  27380.1
  1     33.28824    -12.19851     33.59348     40.09228     445975    3348126       1535        469 -17234.0  27397.6
  1     35.62658    -12.19791     32.32442     42.35786     471932    2715006       1626        384     25.0     40.5
  1     43.42038    -12.20476     27.70900     49.36145     556509     491023       1906         77 -17258.3  27381.5
  1     43.91299    -12.20455     27.40027     49.77818     561571     336678       1923         56     12.8     51.2
  1     50.31390    -12.20782     23.22183     54.93093     619503   -1623740       2124       -223 -16830.1  27427.7
  1     51.94101    -12.20841     22.11607     56.16962     634667   -2129849       2178       -296 -17231.3  27389.0
  1     53.69727    -12.20870     20.90490     57.47710     648975   -2684904       2227       -377 -16934.8  27402.8
  1     57.18055    -12.20835     18.45241     59.98516     678770   -3787944       2331       -540 -17266.7  27375.8
  1     58.83991    -12.20799     17.26215     61.14259     690948   -4367807       2373       -626 -16880.4  27734.9
  1     60.96486    -12.20698     15.71911     62.59244     707849   -5041610       2431       -729 -16881.4  27742.0
  1     62.51975    -12.20587     14.57740     63.63162     720203   -5543446       2473       -806 -16920.8  27789.8
  1    -47.59959    -12.45495     24.84454    -52.61864    -623354    -802267      -2189       -104 -15799.8  26843.5
  1    -43.64566    -12.46410     27.36889    -49.36503    -586309     364965      -2059         61 -15787.9  27021.1
  1    -40.05944    -12.46844     29.55457    -46.25272    -551403    1415939      -1939        207 -15384.7  27005.6
  1    -38.53925    -12.47040     30.44729    -44.88336    -534786    1851569      -1880        267 -15765.5  26979.4
